Ticker,MarketCap
NVDA,4455957266432
AAPL,3754291101696
GOOGL,3678939643904
GOOG,3675552481280
MSFT,2990788837376
AMZN,2253259800576
META,1613603536896
AVGO,1592664915968
TSLA,1484612173824
BRK-B,1061732286464
WMT,993895645184
LLY,875082219520
JPM,762086948864
XOM,641348206592
V,590975729664
JNJ,586147692544
ORCL,457641492480
MU,456292696064
COST,445639819264
MA,443487977472
NFLX,401409998848
ABBV,399155298304
CVX,395062280192
PLTR,366835236864
PG,351865339904
BAC,343837999104
HD,337801936896
KO,334127497216
CAT,328056045568
GE,323500867584
AMD,321843101696
CSCO,306921013248
MRK,287168331776
RTX,272417259520
PM,267647696896
AMAT,266633068544
LRCX,262384648192
UNH,251535130624
MS,244593983488
TMUS,239315681280
GS,236208701440
WFC,235179900928
IBM,232172896256
MCD,231571783680
LIN,227327213568
INTC,226556313600
GEV,224718176256
PEP,217325043712
VZ,213267202048
AXP,207902310400
AMGN,198942916608
T,193400193024
NEE,191371476992
ABT,188382216192
CRM,185488523264
C,184937496576
KLAC,184643682304
GILD,181160493056
TMO,177333583872
DIS,176452009984
TJX,173585055744
TXN,173297598464
ISRG,170441211904
ANET,169430515712
SCHW,161958903808
BA,161255227392
APH,161143930880
DE,158339596288
PFE,152989024256
APP,151929356288
UBER,151432265728
LMT,151174496256
ADI,149868920832
HON,148776714240
COP,147053510656
UNP,144674783232
BLK,143756148736
WELL,143520710656
QCOM,140109905920
PANW,137336872960
BKNG,136442355712
ETN,135516741632
LOW,134496534528
DHR,132351729664
CB,129706483712
SYK,129413832704
SPGI,127076081664
BX,125429284864
NEM,124862308352
PLD,122673897472
VRTX,121776365568
ACN,121677455360
INTU,121410977792
BMY,120396324864
PGR,120058077184
HCA,119613284352
NOW,118888235008
MCK,116504879104
SBUX,114203426816
PH,114118680576
IBKR,113841381376
MO,113562140672
MDT,112680157184
CME,111966543872
CRWD,111956393984
GLW,111104278528
ADBE,110945796096
COF,110305787904
CMCSA,110027390976
SO,109588406272
CEG,109449592832
NOC,104747966464
DUK,102695321600
BSX,101779693568
DELL,100107796480
HWM,98089246720
CVS,96840712192
WM,96824786944
GD,96074891264
EQIX,95655100416
TT,93576077312
SNDK,91121459200
ICE,90666942464
WMB,90322378752
WDC,89098960896
FCX,84967358464
PWR,84746682368
ADP,84311343104
AMT,84285112320
MRSH,84024410112
MAR,83761618944
STX,83550265344
FDX,83309977600
UPS,82931761152
PNC,81736097792
BK,81575903232
SNPS,80330579968
NKE,80251584512
JCI,80235749376
CDNS,80134930432
USB,79875497984
MMM,78907564032
REGN,78871199744
SHW,78696980480
ORLY,78307532800
ECL,78094221312
CTAS,77962133504
KKR,77821820928
MSI,77444743168
ITW,76723159040
ABNB,76366086144
MCO,75913314304
MNST,75258363904
CMI,74701570048
EMR,74572496896
KMI,74330783744
CSX,73015492608
RCL,72890720256
EOG,72529518592
VLO,71936499712
AEP,71744462848
CI,70893854720
CL,70508167168
DASH,70433980416
MDLZ,70369705984
RSG,70106865664
PSX,69551128576
MPC,69451194368
TDG,69268774912
COR,68680032256
GM,68444037120
HLT,68412641280
HOOD,68297396224
ROST,68251983872
WBD,68116254720
AON,68097937408
TRV,67420921856
LHX,67118305280
SLB,66882994176
CRH,66655817728
NSC,65286459392
APD,64405475328
CVNA,64061972480
ELV,63635775488
DLR,63024267264
FTNT,62652354560
PCAR,61592756224
SRE,60931813376
SPG,60834504704
O,60741156864
AZO,59928866816
APO,58300547072
TEL,58161123328
BDX,57907441664
OXY,57676873728
AFL,56718016512
TFC,55456829440
BKR,55375831040
D,55310766080
VST,54306951168
CTVA,53842321408
OKE,53708574720
ALL,53287899136
ADSK,52949118976
TGT,52656254976
AJG,52564094976
PSA,52185964544
FAST,52128374784
COIN,52052004864
CAH,51700105216
GWW,51567730688
TRGP,51284275200
ZTS,50939727872
EXC,50679214080
MPWR,50673324032
FANG,50474840064
XEL,50340622336
EA,49860550656
AME,49629650944
EW,49278205952
KEYS,48619401216
NXPI,48456380416
FIX,48345325568
F,48152965120
NDAQ,47986458624
CIEN,47906598912
ETR,47464271872
CARR,47392350208
URI,46845153280
KR,45957898240
IDXX,45770780672
GRMN,45389869056
MET,45344923648
DDOG,44932042752
TER,44726468608
YUM,43982987264
HSY,43765084160
CMG,43099652096
PYPL,41678614528
AIG,41378467840
PEG,41230118912
WAB,41113493504
AMP,40969560064
ED,40865140736
EBAY,40847556608
VTR,40835133440
SYY,40656424960
DHI,40617119744
EQT,40362434560
MSCI,40357068800
ROK,40240959488
AXON,40182353920
PCG,39720579072
FITB,39278727168
CBRE,39139430400
TTWO,38788702208
NUE,37885259776
DAL,37780344832
LYV,37727969280
CCI,37645959168
